Title,Type,Price
Duplex with a river view in Alfama,Entire home/apt,112
Lovely Villa w/shared swim. pool - Air Cond,Entire home/apt,143
Charming suite in Lisbon Baixa,Private room,66
"The Shelter sea view, near beach and forest",Entire home/apt,108
Little patio for two. Alfama,Entire home/apt,86
Charming room in Baixa,Private room,64
Family Apartment T3 Duplex,Entire home/apt,185
Lisbon Life Alfama I,Entire home/apt,74
Ericeira(center) close to the beach,Entire home/apt,85
Príncipe Real sunny flat with view - 31276/AL,Entire home/apt,
The Hidden Hill's House/river view,Entire home/apt,80
Classic Family Friendly Central Apartment in Baixa,Entire home/apt,233
Trendy apartment in Bairro Alto,Entire home/apt,135
Quinta de São Thiago - Guest House,Entire home/apt,1360
"Ljmonade Cascais, Double Private Room-shared WC",Private room,75
"Janela de Lisboa, 3 min from center",Entire home/apt,81
Luxury Apartment in historic center,Entire home/apt,231
Charming&Central with Balcony,Entire home/apt,79
Luxury apartment in Estoril 200m from the beach,Entire home/apt,420
Casa em Belém,Entire home/apt,108
"""NEW"" Studio A, in the heart of Lisbon",Entire home/apt,65
"""NEW"" Studio B, in the heart of Lisbon",Entire home/apt,65
1Room + WC -APT Partilhado,Private room,51
Spacious Flat 5 Bedrooms 250m2,Entire home/apt,380
Long stay - perfect for nomads,Entire home/apt,135
Minha Casa Linda. Alfama - Lisboa,Entire home/apt,
80mBEACH | CASCAIS | 20mTRAIN STATiON,Entire home/apt,149
"A Portuguesa III, Bica's Funicular St.",Entire home/apt,91
"Unique beach Villa with ocean view, pool, tennis",Entire home/apt,467
"Room/private WC's, pool/ beach",Private room,
Spiritual Home in Lisbon with terrace,Entire home/apt,
Best Deal Lisboa Alfama Fado apart.,Entire home/apt,106
"Lisbon Center - Charming, Quiet, Yard and Parking",Entire home/apt,200
"Terrace & Sunny - City Center, Quiet & Pratical",Entire home/apt,133
Alfama - Marta's magical place,Entire home/apt,104
The Enchantment of Lisbon (Graça),Entire home/apt,85
"City Center, Sun, Charm with Terrace and Fireplace",Entire home/apt,118
Lisbon city center/design/bold/authentic/quiet,Entire home/apt,121
Apartment Estoril - 650 m Beach,Entire home/apt,120
Casa da Saudade - Terrace,Entire home/apt,174
Splendid Beachfront Apartment,Entire home/apt,
"Duplex with terrace in Alfama, Central Lisbon",Entire home/apt,199
LisbOn LOw COst,Entire home/apt,
"3 Bed Apartment in ALVALADE, LISBON",Entire home/apt,96
Single room for girls  Algés/Belém,Private room,34
Alfama Chic 3,Entire home/apt,282
Alfama Chic Loft,Entire home/apt,151
Central Cosy Apartment with Terrace in Green Stree,Entire home/apt,118
Attenuata Villa Guincho Cascais,Entire home/apt,260
Creto Village - Santa Cruz - 700 m beach,Entire home/apt,150
Heart Wish Bairro Alto- river view,Entire home/apt,93
Central terrace @ cool Bica Chiado,Entire home/apt,111
The Countess Quarters,Entire home/apt,142
House of Castanets Modern Cadaval,Entire home/apt,
Appartement T1 dans villa traditionnelle à ESTORIL,Entire home/apt,100
Compact apartment near  Nova University and beach,Entire home/apt,74
Alfama Doll House,Entire home/apt,80
"Enchanting, Contemporary Central Lisbon Loft",Entire home/apt,155
Red Apartment- Bairro Alto/Lisboa,Entire home/apt,125
WHITE APARTMENT - Bairro Alto,Entire home/apt,104
Estrella d'Ouro House - city center,Entire home/apt,64
Sea Level ParedeFlats in Lisbon,Entire home/apt,144
Lisbon Sky View Loft - DOWN TOWN,Entire home/apt,233
Apartamento acolhedor no coração,Entire home/apt,71
Cosy apartment in the heart of L.,Entire home/apt,81
Chiado Design & Terrace Apartment,Entire home/apt,163
"Trendy flat / Chiado, downtown",Entire home/apt,160
Beach villa pool Ericeira surf spot,Entire home/apt,644
romantic-alfama - Duplex -Lisboa,Entire home/apt,120
PASTELEIRO HOUSE in Historical Center of Lisbon,Entire home/apt,101
* * Sé Central - Downtown View * *,Entire home/apt,195
Moinho do Lebre,Entire home/apt,77
Modern and Charming Studio in Estoril,Entire home/apt,90
Casa da Porteira: for 2 with terrace,Entire home/apt,80
Simply Bairro Alto,Entire home/apt,235
Lisbon's Hippie Homestay -Alafama!,Private room,
One Room Apartment Parque da Nações,Entire home/apt,95
Apartment sec. XIX Lapa / Santos,Entire home/apt,295
A beautiful comfy room in Cascais,Private room,
Discover Secrets of a Kings Life,Entire home/apt,95
Alfama - House with a river view,Entire home/apt,140
The best city view in a rooftop,Entire home/apt,128
*Artist Beautiful Studio Flat*,Entire home/apt,
Príncipe Real -Daydream Portugal,Entire home/apt,151
FEEL the city HEART BEAT from here!,Entire home/apt,85
Alfama & Baixa apartment with a view,Private room,41
Fabulous duplex in Belem with river view,Entire home/apt,167
Bed in a 10 mixed dorm shared wc,Shared room,35
Airport Lisbon Guest House,Entire home/apt,128
Alfama Chic 1,Entire home/apt,226
Great bedroom with private garden in Estoril,Private room,56
ANGOLA TOP FLOOR,Entire home/apt,240
Vintage charme in Bairro Alto,Entire home/apt,92
*Artist Beautiful Flat* (Tagus),Entire home/apt,70
"Rooftops in Bairro Alto, Lisbon",Entire home/apt,97
Castle/Alfama Historic city center,Entire home/apt,109
Centre of Cascais Buganvilia House,Entire home/apt,95
Lisbon Life Alfama II - Studio,Entire home/apt,75
"D_Room, Belém Restelo, Lisbon",Private room,51
"The perfect apartment, 125m2 heart of Lisbon",Entire home/apt,
Red Studio @ Mouraria | Castle,Entire home/apt,73
CheckinCheckout - Villa Lunae - Sintra Flats II,Entire home/apt,80
Yellow Studio @ Mouraria | Castle,Entire home/apt,71
"Luxury villa, sea view, private garden 5m to beach",Entire home/apt,1029
Estúdio Charmoso no meio da Natureza c/ Piscina,Entire home/apt,143
Tranquil Retreat with Pinewood View,Private room,113
Hugo's Historic Studio,Entire home/apt,75
Quinta das Murtas - Quarto Triplo 3 camas,Private room,
Quinta das Murtas - Apartamento para 4 pessoas B,Entire home/apt,
Typical Mouraria,Entire home/apt,70
In Love with Alfama in Lisbon 2,Entire home/apt,175
Apartamento luxuoso no Campo Grande,Entire home/apt,215
Calm and quiet central  Art Apartment,Entire home/apt,113
Attic w/Terrace Downtown Old Lisbon,Entire home/apt,95
Apartamento Cascais - centro/praia 1km,Entire home/apt,90
Pool House,Entire home/apt,90
Be 1 of Us Bairro Alto Sta Catarina,Entire home/apt,83
Sunny 1bdr in Belém with river view + free parking,Entire home/apt,95
FindMeInn Alcantara 2 Room Terrace,Entire home/apt,104
Sunny and cosy apartment at Baixa/downtown,Entire home/apt,96
"Vimeiro, THE place for family vacations.",Entire home/apt,
Cozy One Bedroom Apartment!,Entire home/apt,112
Hidden Gem I in Alfama perfect to explore Lisbon,Entire home/apt,81
Central Alfama Hideaway perfect to explore Lisbon,Entire home/apt,84
Apartamento familiar com terraço muito espaçoso,Entire home/apt,200
Charming room near the beaches!,Private room,
"Sunset Pool Villa — Sunbathe, Chill & Sleep Deep",Entire home/apt,162
Lisbon City Center,Entire home/apt,138
Charming Flat right in the heart of Alfama,Entire home/apt,110
Studio in the Historic Centre with Garden,Entire home/apt,154
3-Bedroom Apt with Terrace Garden in the Centre,Entire home/apt,320
My Lisbon Flat,Entire home/apt,75
Story Flat Lisbon - Alfama,Entire home/apt,113
Charming T3 apartment at Downtown,Entire home/apt,115
Wonderful Flat T2 at Downtown Bica,Entire home/apt,105
Cheese & Wine | Alfama - Sé Cathedral 1,Entire home/apt,119
Sunny Duplex in the Heart of Alfama,Entire home/apt,60
Crows Nest Romantik Alfama Loft,Entire home/apt,930
House with garden and swimming pool,Entire home/apt,300
Cozy Duplex flat with Ac. Lovely neighbourhood.,Entire home/apt,157
3F,Entire home/apt,75
Apartment full of CHarm in Baixa,Entire home/apt,150
Alfama  Castelo Sao Jorge with Swimming Pool,Entire home/apt,181
